name,category,severity,risk_factors,common_symptoms,specific_symptoms,comorbidities,recommendation
"Carpal Tunnel Syndrome","Neurological","Chronic; mild to moderate","Repetitive hand use; diabetes; obesity","Numbness; tingling; hand weakness","Thenar atrophy; nocturnal symptoms","Diabetes; hypothyroidism","Wrist splint; NSAIDs; surgical release if severe"
"Bell's Palsy","Neurological","Acute; mild to moderate","Viral infections; diabetes; pregnancy","Facial droop; difficulty closing eye","Loss of taste; hyperacusis","Diabetes; hypertension","Corticosteroids; eye protection; physiotherapy"
"Meningitis","Neurological","Acute; severe; potentially fatal","Infants; immunocompromised; infections","Fever; headache; neck stiffness","Photophobia; rash; altered consciousness","Sepsis; neurological deficits","Prompt antibiotics; supportive care; vaccination prophylaxis"
"Major Depressive Disorder","Mental Health","Chronic; moderate to severe","Genetics; stress; trauma","Low mood; fatigue; loss of interest","Suicidal ideation; psychomotor changes","Anxiety; cardiovascular disease","Psychotherapy; antidepressants; lifestyle modification"
"Generalized Anxiety Disorder","Mental Health","Chronic; moderate","Stress; genetics; trauma","Excessive worry; restlessness; fatigue","Muscle tension; sleep disturbance","Depression; IBS","CBT; SSRIs; stress management"
"Bipolar Disorder","Mental Health","Chronic; moderate to severe","Genetics; family history; substance use","Mood swings; irritability; depression","Mania/hypomania; elevated activity","Anxiety; substance abuse","Mood stabilizers; psychotherapy; monitoring"
"Panic Disorder","Mental Health","Chronic; moderate to severe","Genetics; stress; trauma","Palpitations; shortness of breath; fear","Unexpected panic attacks; avoidance","Depression; anxiety","CBT; SSRIs; lifestyle strategies"
"Obsessive-Compulsive Disorder","Mental Health","Chronic; moderate to severe","Genetics; stress","Repetitive thoughts; compulsions","Time-consuming rituals; distress","Anxiety; depression","CBT; SSRIs; exposure therapy"
"Post-Traumatic Stress Disorder","Mental Health","Chronic; moderate to severe","Trauma; combat; abuse","Flashbacks; nightmares; hyperarousal","Avoidance; emotional numbness","Depression; substance use","Trauma-focused CBT; medications; support"
"Schizophrenia","Mental Health","Chronic; severe","Genetics; neurodevelopmental factors; substance abuse","Delusions; hallucinations; disorganized speech","Cognitive deficits; negative symptoms","Substance abuse; depression","Antipsychotics; psychosocial support"
"Attention-Deficit/Hyperactivity Disorder","Mental Health","Chronic; mild to moderate","Genetics; neurodevelopmental factors","Inattention; hyperactivity; impulsivity","Executive function deficits; emotional dysregulation","Learning disabilities; anxiety","Stimulants; behavioral therapy; educational support"
"Eating Disorders","Mental Health","Chronic; mild to severe","Genetics; societal pressure; trauma","Weight loss/gain; preoccupation with food","Binge-purge cycles; distorted body image","Depression; anxiety","Nutritional rehab; psychotherapy; medications if indicated"
"Insomnia","Mental Health","Chronic; mild to moderate","Stress; caffeine; depression; age","Difficulty falling/staying asleep; fatigue","Daytime sleepiness; mood disturbance","Depression; anxiety","Sleep hygiene; CBT-I; medications if needed"
"Acne Vulgaris","Dermatological","Mild to moderate","Hormones; genetics; diet","Comedones; papules; pustules","Cystic lesions; scarring","Rosacea; hyperpigmentation","Topical retinoids; antibiotics; lifestyle hygiene"
"Eczema","Dermatological","Chronic; mild to severe","Genetics; allergies; irritants","Pruritus; dry skin; redness","Lichenification; vesicles","Asthma; allergic rhinitis","Moisturizers; corticosteroids; trigger avoidance"
